"","drg","stateProvider","num_charges","mean_charge"
"1","039","AK",1,34805.13043
"2","039","AL",23,32044.4415143043
"3","039","AR",16,27463.268018125
"4","039","AZ",24,33443.3633591667
"5","039","CA",67,56094.9345614925
"6","039","CO",10,35252.210814
"7","039","CT",15,21632.0099906667
"8","039","DC",3,47369.8809533333
"9","039","DE",3,23966.52804
"10","039","FL",81,42636.6796311111
"11","039","GA",29,28198.3288706897
"12","039","HI",1,27809.95833
"13","039","IA",14,22040.6836657143
"14","039","ID",6,19174.957275
"15","039","IL",52,34146.6043057692
"16","039","IN",37,26161.9007356757
"17","039","KS",16,25859.601444375
"18","039","KY",18,22341.8346177778
"19","039","LA",25,34160.1658328
"20","039","MA",25,21435.6751304
"21","039","MD",21,9633.09531319048
"22","039","ME",3,14480.66232
"23","039","MI",40,22322.1257805
"24","039","MN",14,25111.7515621429
"25","039","MO",30,26128.3035593333
"26","039","MS",15,27475.8102893333
"27","039","MT",5,18199.581686
"28","039","NC",26,21999.2188342308
"29","039","ND",6,14450.3524833333
"30","039","NE",9,23804.4805411111
"31","039","NH",8,24200.00654875
"32","039","NJ",31,35103.809386129
"33","039","NM",7,32472.8872071429
"34","039","NV",11,47518.4805218182
"35","039","NY",46,23260.6824608043
"36","039","OH",48,28181.9481407708
"37","039","OK",10,23915.593573
"38","039","OR",12,24634.9426075
"39","039","PA",44,33175.9952038636
"40","039","RI",3,24913.80349
"41","039","SC",19,33864.17418
"42","039","SD",4,21836.92657
"43","039","TN",32,26417.3805478125
"44","039","TX",78,31447.0561575641
"45","039","UT",6,20597.699475
"46","039","VA",28,27124.6362428571
"47","039","VT",1,17934.35088
"48","039","WA",21,31277.5546533333
"49","039","WI",25,24562.5259248
"50","039","WV",8,15732.11943125
"51","039","WY",2,26991.64732
"52","057","AK",1,31858.54545
"53","057","AL",25,24896.57611268
"54","057","AR",11,15694.0909445455
"55","057","AZ",18,29392.2675383333
"56","057","CA",78,45722.745700641
"57","057","CO",14,26052.8306857143
"58","057","CT",16,24235.439099375
"59","057","DC",4,28650.10133
"60","057","DE",2,17471.61392
"61","057","FL",102,27257.3215479412
"62","057","GA",34,18508.6920242059
"63","057","HI",1,27601
"64","057","IA",10,17270.418497
"65","057","ID",1,15237.58333
"66","057","IL",68,22217.0487001471
"67","057","IN",33,17221.1978813333
"68","057","KS",11,24837.7528398182
"69","057","KY",19,16294.977085
"70","057","LA",12,20703.3558185833
"71","057","MA",39,14017.8529449744
"72","057","MD",37,9952.50057243243
"73","057","ME",7,17063.9390398571
"74","057","MI",45,15141.9837214889
"75","057","MN",18,20949.5757139444
"76","057","MO",28,18560.6526587143
"77","057","MS",14,19902.1164914286
"78","057","MT",3,17013.8429773333
"79","057","NC",39,17547.6358157692
"80","057","ND",1,15473.68421
"81","057","NE",6,16810.091285
"82","057","NH",7,17753.7967857143
"83","057","NJ",55,45692.0683665455
"84","057","NM",5,21862.829296
"85","057","NV",7,45778.55549
"86","057","NY",104,24169.7174215
"87","057","OH",49,16950.7734988776
"88","057","OK",12,22643.8106283333
"89","057","OR",3,22413.3591166667
"90","057","PA",68,27662.9660945147
"91","057","RI",3,24220.9780233333
"92","057","SC",22,21741.9232653182
"93","057","SD",3,18976.17951
"94","057","TN",20,21064.212003
"95","057","TX",70,28781.3658702429
"96","057","UT",2,20247.73262
"97","057","VA",33,19070.6209513333
"98","057","VT",1,18529.39286
"99","057","WA",10,23513.411655
"100","057","WI",20,17936.737436
"101","057","WV",9,13032.0193936667
"102","057","WY",1,16099.86667
"103","064","AK",2,42453.8115
"104","064","AL",35,42089.0217617143
"105","064","AR",18,34320.5110244444
"106","064","AZ",26,50571.0372915385
"107","064","CA",165,89387.6131447879
"108","064","CO",18,55223.6175861111
"109","064","CT",22,41027.5080595455
"110","064","DC",5,67844.36177
"111","064","DE",4,39125.12934
"112","064","FL",113,59707.7330088496
"113","064","GA",51,43737.3128707843
"114","064","HI",10,46547.842387
"115","064","IA",17,29660.3857805882
"116","064","ID",7,24608.8136985714
"117","064","IL",86,46334.8708583721
"118","064","IN",46,32232.0493795652
"119","064","KS",15,40322.3085313333
"120","064","KY",24,34826.63877125
"121","064","LA",27,48542.4513248148
"122","064","MA",39,26433.0781017949
"123","064","MD",37,17867.2596361892
"124","064","ME",8,28502.307405
"125","064","MI",58,30404.8719653448
"126","064","MN",20,34780.476385
"127","064","MO",42,38376.7209571429
"128","064","MS",19,41630.0328321053
"129","064","MT",5,23320.40658
"130","064","NC",53,30861.8898241509
"131","064","ND",6,24694.3150366667
"132","064","NE",10,37980.918069
"133","064","NH",9,27344.3834822222
"134","064","NJ",55,87041.6419229091
"135","064","NM",7,43181.4462428571
"136","064","NV",11,83959.9685536364
"137","064","NY",96,49598.0266058333
"138","064","OH",64,37135.5819709375
"139","064","OK",20,43328.3223975
"140","064","OR",16,36487.22208625
"141","064","PA",76,51392.0074364868
"142","064","RI",3,41211.7892433333
"143","064","SC",30,45123.7914273333
"144","064","SD",5,37796.328586
"145","064","TN",33,38829.05579
"146","064","TX",111,57015.4024359459
"147","064","UT",7,30102.7483057143
"148","064","VA",49,34581.0873467347
"149","064","VT",3,22194.6913966667
"150","064","WA",35,36409.0584545714
"151","064","WI",27,32587.9878503704
"152","064","WV",13,24633.9591461538
"153","064","WY",1,40289.27273
"154","065","AK",6,32629.3744183333
"155","065","AL",55,24317.1350641818
"156","065","AR",32,18588.4458709687
"157","065","AZ",38,31571.3743834211
"158","065","CA",204,52628.3800341176
"159","065","CO",27,31462.2253477778
"160","065","CT",26,26359.8269511538
"161","065","DC",7,37008.4240014286
"162","065","DE",5,22714.360742
"163","065","FL",138,38118.7122612319
"164","065","GA",75,25123.8611971067
"165","065","HI",11,28497.9431354545
"166","065","IA",26,18150.6784908846
"167","065","ID",9,16947.6042277778
"168","065","IL",102,30351.8870101863
"169","065","IN",63,22254.8692360317
"170","065","KS",22,26636.7086340909
"171","065","KY",37,21870.7691364865
"172","065","LA",37,26965.2173336216
"173","065","MA",51,17927.2053094118
"174","065","MD",42,10826.255061
"175","065","ME",16,16982.5220475
"176","065","MI",76,18443.6772860526
"177","065","MN",33,21918.1368078788
"178","065","MO",53,24320.3142073585
"179","065","MS",34,26084.4659116471
"180","065","MT",9,16642.1773833333
"181","065","NC",78,19782.2763247436
